anio,mes,dia,hora,minuto,segundo,clasificacion_distancia,latitud,longitud,profundidad_km,cantidad_estaciones,rms,gap,magnitud_ml,significativo
2021,7,11,16,47,57.1,L,-54.551,-67.216,14.5,3,0.1,255,2.3,0
2021,7,27,9,7,56.5,R,-55.218,-70.525,30.3,4,0.3,287,2.6,0
2021,8,5,7,50,33.1,R,-54.319,-74.158,10.0,7,1.4,283,3.4,0
2021,8,27,1,14,47.4,R,-54.471,-67.262,7.7,3,0.2,241,1.6,0
2021,8,27,9,10,5.3,L,-54.47,-67.233,8.1,4,0.3,232,1.7,0
2021,9,13,1,15,48.1,L,-54.548,-67.223,6.1,4,0.5,242,2.8,0
2021,9,19,4,45,51.2,R,-57.164,-63.032,25.2,5,0.9,275,2.8,0
2021,9,19,9,2,40.9,L,-54.367,-65.361,10.0,5,0.2,192,2.3,0
2021,9,19,11,12,50.6,R,-56.076,-68.712,30.7,4,0.2,305,2.3,0
2021,9,19,11,16,30.4,R,-55.786,-68.676,9.1,3,0.4,296,2.3,0
2021,9,19,12,30,17.6,R,-58.972,-62.661,10.0,6,0.6,295,3.2,0
2021,9,19,19,43,34.6,L,-54.391,-65.303,1.9,5,0.3,194,2.8,0
2021,9,19,22,0,11.0,R,-54.343,-65.332,6.9,4,0.1,191,2.5,0
2021,9,22,10,3,24.5,R,-54.699,-69.604,0.0,3,0.3,239,2.3,0
2021,10,13,7,55,24.8,R,-50.098,-73.133,9.5,7,0.5,214,5.3,1
2021,11,14,9,38,10.8,R,-53.957,-63.004,10.0,7,0.2,194,4.0,1
2021,11,21,22,36,12.7,R,-53.609,-62.357,10.4,5,0.7,193,3.1,0
2021,12,8,4,37,3.6,L,-54.721,-69.46,6.0,6,0.5,224,3.1,0
2021,12,16,13,1,35.2,L,-54.701,-67.346,6.8,4,0.1,205,2.2,0
2021,12,17,8,59,56.1,R,-55.118,-73.324,32.1,5,0.1,300,3.0,0
2021,12,18,0,56,49.1,R,-54.503,-60.114,3.3,6,0.6,237,3.0,0
2021,12,18,2,8,55.2,R,-56.917,-68.664,11.9,3,0.1,346,2.7,0
2021,12,18,7,16,56.3,R,-57.323,-66.855,22.8,6,0.6,282,2.6,0
2021,12,22,5,4,57.5,R,-54.731,-67.311,6.5,3,0.0,301,1.3,0
2021,12,24,1,27,44.3,R,-55.026,-68.141,1.2,5,0.1,239,2.3,0
2021,12,25,11,19,51.1,R,-54.525,-60.902,32.3,6,0.6,229,2.9,0
2021,12,31,11,53,23.6,R,-54.837,-59.466,8.5,5,0.6,250,3.2,0
2022,1,15,19,45,34.7,R,-51.07,-72.347,22.0,9,0.7,244,3.5,0
2022,2,6,8,9,51.1,L,-54.616,-67.465,14.2,6,0.2,162,2.3,0
2022,2,11,20,36,45.0,R,-58.034,-66.745,32.0,6,1.1,290,3.4,0
2022,2,12,2,45,17.1,R,-57.32,-66.586,2.9,6,0.5,281,3.1,0
2022,2,15,6,4,16.8,L,-54.68,-67.55,5.7,5,0.4,121,1.8,0
2022,2,19,21,14,57.8,L,-54.664,-67.456,5.3,2,0.0,186,0.9,0
2022,3,4,6,9,18.8,L,-54.581,-67.45,2.2,4,0.2,185,2.1,0
2022,3,17,8,20,16.3,R,-53.377,-62.215,24.5,4,0.7,187,3.0,0
2022,3,18,14,31,6.9,L,-54.564,-66.709,7.8,2,0.0,309,2.2,0
2022,3,20,4,51,40.8,L,-54.609,-67.514,6.1,3,0.1,160,1.7,0
2022,3,24,19,41,9.0,R,-58.298,-66.361,0.4,5,0.2,290,3.3,0
2022,3,28,16,30,26.0,R,-59.574,-65.399,0.0,4,0.5,345,3.4,0
2022,3,31,7,9,15.8,L,-54.693,-67.33,22.0,2,0.3,345,1.9,0
2022,3,31,7,14,4.7,L,-54.61,-67.364,16.1,2,0.2,208,1.7,0
2022,4,3,7,9,59.0,L,-54.787,-69.254,15.8,4,0.4,224,2.2,0
2022,4,3,7,35,6.3,L,-54.883,-69.185,20.9,4,0.3,230,2.4,0
2022,4,6,14,44,19.3,L,-54.822,-69.226,6.0,3,0.1,240,2.1,0
2022,4,6,14,58,16.4,L,-54.822,-69.176,13.0,4,0.1,225,2.1,0
2022,4,20,11,6,25.6,R,-57.385,-50.986,1.1,4,1.1,318,4.1,1
2022,4,29,5,51,59.9,R,-56.787,-69.879,12.4,5,0.7,312,3.1,0
2022,5,2,8,23,26.3,L,-54.508,-69.714,9.5,4,0.0,216,2.1,0
2022,5,6,18,1,59.9,R,-57.245,-67.112,4.1,5,0.3,282,3.0,0
2022,5,13,3,50,8.8,L,-54.695,-67.07,0.0,4,0.0,278,2.4,0
2022,5,20,20,30,55.1,L,-54.796,-67.477,10.9,3,0.0,179,0.9,0
2022,5,29,19,12,32.5,L,-54.695,-69.211,20.0,1,0.0,360,2.5,0
2022,6,23,17,13,7.6,R,-57.463,-66.509,15.8,5,0.5,181,3.5,0
2022,6,28,6,26,37.2,R,-52.612,-72.233,20.0,7,1.1,223,3.0,0
2022,6,28,6,33,21.7,R,-52.712,-72.35,20.6,7,0.8,229,3.2,0
2022,6,29,7,38,0.1,L,-54.535,-69.269,10.4,4,0.3,248,2.3,0
2022,6,29,11,57,15.2,L,-54.531,-69.641,6.1,4,0.2,227,2.1,0
2022,7,4,11,1,39.5,R,-53.734,-63.953,8.0,7,0.5,177,3.4,0
2022,7,4,11,25,29.0,R,-52.337,-72.554,13.6,5,0.4,243,3.2,0
2022,7,8,6,2,1.2,L,-54.608,-69.475,3.6,4,0.3,258,2.3,0
2022,7,11,12,53,43.8,L,-54.518,-69.645,8.2,3,0.2,226,2.1,0
2022,7,13,13,3,11.1,R,-54.581,-69.518,1.5,3,0.0,227,2.7,0
2022,7,17,12,23,3.6,R,-59.94,-57.415,115.0,6,0.2,308,3.9,0
